Experiment,rev,typ,Created,parent,sharpe_ratio,stdev,ir2,sortino_ratio,start,end,sharpe_ratio_full,stdev_full,ir2_full,sortino_ratio_full,start_full,end_full,general.asset,general.tfmin,general.performance_stat,general.datapath,general.raw_data,strategy.param.path,wf.param.path,wf.train_length,wf.test_length,wf.day_clip_front,wf.day_clip_back,master\data-raw\train_3mln.csv,master\data-wip\01_converted_to_xts.rds,master\data-wip\1\60\02_downsampled.rds,master\data-wip\1\60\03_precalculated.rds,master\data-wip\1\60\04_positions.rds,master\data-wip\1\60\05_pnl.rds,master\data-wip\1\60\06_wf_indexes.rds,master\data-wip\1\60\07_wf_metrics.rds,master\data-wip\1\60\08_wf_best_params.rds,master\rcode\01_convert_to_xts.r,master\rcode\05_calculate_pnl.r,master\rcode\06_wf_calculate_indexes.r,master\rcode\07_wf_calculate_metrics.r,master\rcode\08_wf_select_best_params.r,master\rcode\09_wf_eval_test.r,master\rcode\logic\WfHelper.r,master\rcode\logic\WfHelper.yaml,master\rcode\logic\helpers\data_helper.r,master\rcode\logic\helpers\metrics_helper.r,master\rcode\logic\strategy.r,master\rcode\logic\strategy_param.yaml
every-stew,e156d24,branch_commit,2023-11-06T15:35:11,,1.6717813,0.007458,2.3696822,2.4443985,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,0.7369028,0.0082243,0.7098452,1.0632155,start 2018-02-24 01:59:00,end 2018-09-02 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,2,2,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,a4129b68b7335b6175fb968fb0f70986,bc845a5b28e772b08b003915013a5fee,fa7dd6ae4b5a884f16d8a7bed7b00ac9,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

wised-bond,4ecf5b7,branch_commit,2023-11-06T15:34:40,,2.4844204,0.0074663,6.4752274,3.6882167,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,1.0471599,0.0082289,1.1812297,1.5161506,start 2018-02-24 01:59:00,end 2018-09-02 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,2,1,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,c0aebcdccd11741d966eb5a89666083b,cb14aa4c0fdddea0a491323bdbd2c9d0,aebd2f601588f9428a50761fb5a23abf,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

bluer-shah,b96ba3e,branch_commit,2023-11-06T15:34:01,,1.7363476,0.0074629,2.4322944,2.5535116,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,1.3382621,0.0084196,2.028527,1.949044,start 2018-02-23 01:59:00,end 2018-08-10 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,28,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,17a984c402f78e94ffdc5e7b46a263b6,7c4907a69b7313c5f22f350b07cc0d5a,782b40e160b48e558a11f401b58ce84d,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

sunny-gore,1fde072,branch_commit,2023-11-06T15:33:37,,2.0505484,0.0074639,3.3598275,3.0298029,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,1.0114285,0.0082788,1.2693349,1.4689194,start 2018-02-23 01:59:00,end 2018-08-31 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,21,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,f983f79f3d85baf09e72a296f07012fa,69f6e4ab48f4e841f0f9c1eb6903ae60,8c62212fdadaad7c8aa6aec775b54cc0,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

roily-zila,30b971a,branch_commit,2023-11-06T15:33:00,,2.0133338,0.0074613,3.7505471,2.9703711,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,0.8926291,0.0083933,1.1180387,1.2944733,start 2018-02-23 01:59:00,end 2018-08-24 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,14,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,dcb4ba1dffe344c2f2b56c1920116616,bc4f6b48f5161ea78e60f9fa71bf2ddc,8c785e1b4552c10d6fa4af4864ac662a,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

bawdy-outs,3189e80,branch_commit,2023-11-06T15:32:35,,1.3529232,0.0074645,1.4208207,1.9731732,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,0.6681303,0.0082592,0.539595,0.9574936,start 2018-02-23 01:59:00,end 2018-09-01 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,10,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,285c8ee150577ea541b64197645188d0,3105d2d401f04dcc1f8b8e1923a05f8e,7b8e123bfba901ce2d05a335c8412db8,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

fussy-lich,aa0a5c5,branch_commit,2023-11-06T15:32:10,,2.5627033,0.0074592,6.2850577,3.7948433,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,1.3785911,0.0082758,2.8250494,2.0000285,start 2018-02-23 01:59:00,end 2018-08-31 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,7,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,13300aab3761f807b0793af08fecc4b2,94680baab0649dec805f2d6e98554509,5ff94abdfd31bd7823c4232a786dc1cd,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

radio-ziti,04acdf5,branch_commit,2023-11-06T15:31:38,,1.4427343,0.0074612,1.5357953,2.10626,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,0.6824283,0.0082593,0.5353432,0.9834333,start 2018-02-23 01:59:00,end 2018-09-01 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,5,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,823ef8c85f5a94b58fb1c30cdd211001,2c4aa0cce98070a952c19fecaee769e3,3380cf75dc311d552dfac0197c06f94c,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

undug-lure,250c1cb,branch_commit,2023-11-06T15:31:10,,1.9694846,0.0074649,2.5988963,2.9104253,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,0.9687681,0.0082789,0.9763416,1.4066812,start 2018-02-23 01:59:00,end 2018-08-31 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,3,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,b2da84dabe1f30e242a42699752fb911,0931674012acaca51bc8e2185e511425,32571b8c6239643e1840d293914917bd,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

sworn-lush,da9cb7a,branch_commit,2023-11-06T15:30:36,,2.4813791,0.0074664,6.2191489,3.6909484,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,0.4692641,0.0082648,0.2128195,0.6741487,start 2018-02-23 01:59:00,end 2018-09-01 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,2,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,39f5e403264785b212a3b65504a47fce,d3799f8c4d4cb89e40c4039753798dc4,28e776fffd401af0187962581accad79,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

guest-shay,019e64d,branch_base,2023-11-06T15:30:00,,2.2829232,0.0074657,5.2541238,3.395954,start 2018-03-23 00:59:00,end 2018-08-04 23:59:00,1.1245408,0.0082426,1.9504289,1.6305436,start 2018-02-23 01:59:00,end 2018-09-02 00:59:00,1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,1,37,30,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,ff2982a393fef52bfdab66c34d259163,b6504c0380c8c2772846ec86aa51fb79,e5046bfe89e8568e37170c2f91d6e62a,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,5d5702a88dc582dbe54c2ebb76c9b218,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

